ID,ref,Sous-catégorie,Variété,,Nom,Title,Type variétal,Production,Conditionnement,Fournisseur,Prix d'achat,Prix de vente,impact sur le poids,EAN,Meta-title
13,,349,Bonica F1,Plant d',349Bonica F1,Plant d'Aubergine Bonica F1,Hybride,10415,10515,21,0.79,2.90,0.20,3701450217020,Nos plants potagers en godet d'Aubergine Bonica F1 - La Bonne Graine
14,,349,Baluroi F1 Bio,Plant d',349Baluroi F1 Bio,Plant d'Aubergine Baluroi F1 Bio,Hybride,54,10515,21,0.37,2.90,0.20,3701450217037,Nos plants potagers en godet d'Aubergine Baluroi F1 Bio - La Bonne Graine
2238,,349,Green Knight F1,Plant d',349Green Knight F1,Plant d'Aubergine Green Knight F1,Hybride,10415,10515,21,0.89,2.90,0.20,3701450217044,Nos plants potagers en godet d'Aubergine Green Knight F1 - La Bonne Graine
2239,,349,White Knight F1,Plant d',349White Knight F1,Plant d'Aubergine White Knight F1,Hybride,10415,10515,21,0.89,2.90,0.20,3701450217051,Nos plants potagers en godet d'Aubergine White Knight F1 - La Bonne Graine
3301,,349,Elisa F1,Plant d',349Elisa F1,Plant d'Aubergine Elisa F1,Hybride,10415,10515,21,0.82,2.90,0.20,3701450217068,Nos plants potagers en godet d'Aubergine Elisa F1 - La Bonne Graine
3302,,349,Patio Baby F1,Plant d',349Patio Baby F1,Plant d'Aubergine Patio Baby F1,Hybride,10415,10515,21,0.93,2.90,0.20,3701450217075,Nos plants potagers en godet d'Aubergine Patio Baby F1 - La Bonne Graine
3303,,349,Violet Knight F1,Plant d',349Violet Knight F1,Plant d'Aubergine Violet Knight F1,Hybride,10415,10515,21,0.89,2.90,0.20,3701450217082,Nos plants potagers en godet d'Aubergine Violet Knight F1 - La Bonne Graine
3481,,349,Leire F1,Plant d',349Leire F1,Plant d'Aubergine Leire F1,Hybride,10415,10515,67,0.87,2.90,0.20,3701450217099,Nos plants potagers en godet d'Aubergine Leire F1 - La Bonne Graine
35,,350,Concombre Tanja,Plant de ,Concombre Tanja,Plant de Concombre Tanja,,10415,10515,79,0.00,2.80,0.20,3701450217105,Nos plants potagers en godet de Concombre Tanja - La Bonne Graine
691,,350,Concombre Blanc Hâtif Bio,Plant de ,Concombre Blanc Hâtif Bio,Plant de Concombre Blanc Hâtif Bio,,54,10515,79,0.00,2.90,0.20,3701450217112,Nos plants potagers en godet de Concombre Blanc Hâtif Bio - La Bonne Graine
708,,350,Concombre Lemon,Plant de ,Concombre Lemon,Plant de Concombre Lemon,,10415,10515,79,0.00,2.80,0.20,3701450217129,Nos plants potagers en godet de Concombre Lemon - La Bonne Graine
1246,,350,Concombre cocktail Zehneria Scabra Bio,Plant de ,Concombre cocktail Zehneria Scabra Bio,Plant de Concombre cocktail Zehneria Scabra Bio,,54,10515,79,0.00,2.90,0.20,3701450217136,Nos plants potagers en godet de Concombre cocktail Zehneria Scabra Bio - La Bonne Graine
1365,,350,Concombre Vert long de Chine,Plant de ,Concombre Vert long de Chine,Plant de Concombre Vert long de Chine,,10415,10515,79,0.00,2.80,0.20,3701450217143,Nos plants potagers en godet de Concombre Vert long de Chine - La Bonne Graine
1529,,350,Concombre Sonja Bio,Plant de ,Concombre Sonja Bio,Plant de Concombre Sonja Bio,,54,10515,79,0.00,2.90,0.20,3701450217150,Nos plants potagers en godet de Concombre Sonja Bio - La Bonne Graine
2698,,350,Concombre Santos F1,Plant de ,Concombre Santos F1,Plant de Concombre Santos F1,,10415,10515,79,0.00,2.90,0.20,3701450217167,Nos plants potagers en godet de Concombre Santos F1 - La Bonne Graine
3573,,350,Concombre Crokdelis F1,Plant de ,Concombre Crokdelis F1,Plant de Concombre Crokdelis F1,,10415,10515,79,0.00,2.90,0.20,3701450217174,Nos plants potagers en godet de Concombre Crokdelis F1 - La Bonne Graine
38,,350,Cornichon vert petit de Paris,Plant de ,Cornichon vert petit de Paris,Plant de Cornichon vert petit de Paris,,10415,10515,79,0.00,2.80,0.20,3701450217228,Nos plants potagers en godet de Cornichon vert petit de Paris - La Bonne Graine
2009,,350,Cornichon Fin de Meaux Bio,Plant de ,Cornichon Fin de Meaux Bio,Plant de Cornichon Fin de Meaux Bio,,54,10515,79,0.00,2.80,0.20,3701450217235,Nos plants potagers en godet de Cornichon Fin de Meaux Bio - La Bonne Graine
880,,351,Courge Musquée de Provence Bio,Plant de ,Courge Musquée de Provence Bio,Plant de Courge Musquée de Provence Bio,,54,10515,79,0.00,2.90,0.20,3701450217242,Nos plants potagers en godet de Courge Musquée de Provence Bio - La Bonne Graine
