reference,x,Autres,Agrosemens,Bejo,Autres,HM Clause,Clémence Martinez,De Bolster,DLF,Autres,Econseeds,Essem'Bio,FSM,Gautier,Genetic et Distribution,Girerd,Graines Voltz,GSN,Autres,Johnny's Seeds,Kings Seeds,Autres,Legutko,KWS,MoravoSeed,L'Aubépin,Pieterpikzonen,Pro-Veg Seeds,Pyren'Alliance,Rocalba,Sakata,Sativa Suisse,Sativa Italia,Van Waveren,Vilmorin,Autres
1-001,Ache des montagnes (Livèche ou Céleri perpétuel),,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
4-031,Achillée millefeuille,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-117,Agretti (ou Roscano),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
4-047,Alysse Corbeille d'argent,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
4-046,Amarante queue de renard,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-002,Aneth ,,,,,,,,,,,,,,,x,,x,,,,,x,,,,x,,,,,,x,,,
2-017,Aneth Bio,,,,,,,x,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
1-298,Arroche blonde,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
2-018,Arroche rouge Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-019,Arroche verte Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-029,Artichaut Imperial Star,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
1-031,Artichaut Vert de Laon,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-030,Artichaut Vert Globe,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-032,Artichaut Violet de Provence,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-033,Aubergine Baluroi F1,,,,,,,,,,,,,,,,,X,,,,,,,,,x,,,,,,,,,
2-223,Aubergine Baluroi F1 Bio,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-034,Aubergine Black Beauty,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,,,
1-035,Aubergine Blanche Ronde à  oeuf,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-036,Aubergine Bonica F1,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1-037,Aubergine de Barbentane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-021,Aubergine de Barbentane Bio,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
2-022,Aubergine Dourga Bio,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
1-038,Aubergine Gascona F1,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1-459,Aubergine Genie F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-427,Aubergine Green Knight F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-341,Aubergine Laura,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
2-219,Aubergine Listada de Gandia Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-249,Aubergine Longue Violette Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
2-023,Aubergine Louisiana Long Green Bio,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-024,Aubergine Monstrueuse de New York Bio,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
1-360,Aubergine Ophelia F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-361,Aubergine Orlando F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-245,Aubergine Riado F1,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
2-026,Aubergine Ronde de Valence Bio,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
2-027,Aubergine Rosa Bianca Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,
2-178,Aubergine Tsakoniki Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-076,Aubergine Violette de Florence,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
1-428,Aubergine White Knight F1,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-003,Basilic à  feuille de laitue,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,
2-001,Basilic Cannelle Bio,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2-002,Basilic Citron Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-004,Basilic Fin vert,,,,,x,,,,,,,,,,x,,,,,,,x,,,,x,,,,,,,,,
2-004,Basilic Fin vert Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,
2-003,Basilic Genovese Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
1-005,Basilic Grand vert,,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,
2-005,Basilic Pourpre Bio,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,
1-007,Basilic Thaï,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-043,Betterave Blanche Albina Vereduna,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-451,Betterave Blanche Avalanche F1,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-041,Betterave Bull's Blood,,,,,,,,,x,,,,,,,,x,,,,,x,,,,,,,,,,x,,,
1-044,Betterave Burpee's Golden,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
1-046,Betterave Crapaudine,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,
2-028,Betterave Crapaudine Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-040,Betterave Cylindra,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,
2-029,Betterave Détroit Améliorée 2 Bio,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
2-214,Betterave Formanova Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
0-501,Betterave Géante Blanche,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1-045,Betterave Globe 2 Detroit,,,,,x,,,,,,,,,,x,,x,,,,,x,,,,x,,,,,,x,,,
1-097,Betterave Golden Eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
1-452,Betterave Jaune Boldor F1,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-502,Betterave Jaune d'Eckendorf,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
0-503,Betterave Jaune de Vauriac,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1-078,Betterave Monorubra,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
1-328,Betterave Nobol,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-048,Betterave Plate d'Egypte,,,,,x,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,,,
2-030,Betterave Plate d'Egypte Bio,,,,,x,,x,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,
1-386,Betterave Renova,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
2-285,Betterave Robuschka Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-047,Betterave Ronde de Chioggia,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,
0-504,Betterave Rouge d'Eckendorf,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
4-027,Bleuet 'Blue Boy' Bio,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-008,Bourrache officinale,,,,,x,,,,,,,,,,x,,,,,,,x,,,,x,,,,,,,,,
4-026,"Capucine naine 'Tom Pouce', mélange varié Bio",,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,
2-007,Cardon épineux de Plainpalais Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,
2-221,Cardon géant de Romagne Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-050,Cardon plein blanc inerme,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,
1-327,Cardon rouge d'Alger,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
2-258,Carotte Amsterdam 2 Bio,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-315,Carotte Chantenay à  coeur rouge,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,,,
2-032,Carotte Colmar à  coeur rouge 2 Bio,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
1-109,Carotte Cosmic Purple,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
2-265,Carotte de Carentan Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-051,Carotte de Colmar à  coeur rouge,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
2-251,Carotte de Luc Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2-270,Carotte de Tilques à  pétiole violet Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
4-053,Carotte décorative Dara,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
1-248,Carotte Flyaway F1,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2-213,Carotte Gniff Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-052,Carotte jaune obtuse du Doubs,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
2-215,Carotte Küttiger Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
1-053,Carotte Longue Lisse de Meaux,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
1-055,Carotte Marché de Paris,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
1-054,Carotte Nantaise améliorée,,,,,x,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
2-031,Carotte Nantaise améliorée 2 Bio,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,
1-426,Carotte Purple Elite F1,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,
1-268,Carotte Purple Sun F1,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2-239,Carotte Rothild Bio,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2-033,Carotte Rouge Sang Bio,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
1-350,Carotte Short 'N Sweet,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1-057,Carotte Touchon,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
1-424,Carotte Yellowbunch F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-059,Céleri branche Plein Blanc Doré,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,
