Activité,"CA HT août 2022","CA HT septembre 2022","CA HT octobre 2022","CA HT novembre 2022","CA HT décembre 2022","CA HT janvier 2023","CA HT février 2023","CA HT mars 2023","CA HT avril 2023","CA HT mai 2023","CA HT juin 2023","CA HT juillet 2023","CA HT août 2023","CA HT septembre 2023","CA HT octobre 2023","CA HT novembre 2023","CA HT décembre 2023","CA HT janvier 2024","CA HT février 2024","CA HT mars 2024","CA HT avril 2024","CA HT mai 2024","CA HT juin 2024","CA HT juillet 2024"
"Graines Potagères",15174.24,17221.65,20281.07,18423.26,24596.22,89224.69,115451.07,93686.51,41027.27,16111.05,9074.43,9941.64,11892.17,9968.52,15534.99,19267.83,60520.00,169716.38,203500.89,124333.45,46724.43,28231.08,16542.47,14068.16
"Plants PDT",0.00,0.00,0.00,0.00,0.00,34186.04,37666.56,25595.95,5995.85,169.49,0.00,0.00,0.00,0.00,0.00,0.00,294.31,29540.30,47383.80,17154.36,4496.51,894.23,0.00,0.00
"Petits fruits",830.94,7363.53,10610.99,8657.33,1989.20,7095.44,19405.22,28263.75,701.85,312.85,876.17,481.22,357.23,4874.89,6644.67,4337.89,5040.51,10472.28,20341.90,31084.83,2792.41,1049.38,683.92,334.32
"Bulbes Potagers",0.00,7446.34,18153.22,8624.94,4534.59,21307.21,21852.39,8224.92,1384.09,6.22,0.00,0.00,699.49,7196.20,21508.49,10157.21,5550.46,28300.92,24165.76,10101.43,2522.21,0.00,0.00,0.00
Accessoires,1681.91,1445.46,3188.04,2922.27,7136.34,11806.19,17422.01,13297.96,6640.67,2027.76,1096.87,1389.64,1219.67,768.16,1607.55,2433.66,6286.57,17427.16,25509.38,18285.31,7987.42,3175.68,1971.29,1652.13
"Produits Originaux",522.92,2266.74,3878.04,857.15,512.12,5288.87,9645.56,10319.12,5875.74,301.14,0.00,0.00,957.06,2364.35,4067.45,2295.08,700.63,6274.73,15071.05,8920.19,3524.37,1975.04,331.95,76.37
"Patates Douces",0.00,0.00,0.00,0.00,104.00,1829.00,1923.20,3607.16,4581.00,211.68,0.00,0.00,0.00,0.00,0.00,0.00,82.92,1852.15,4705.57,3024.67,2345.52,1069.05,50.32,0.00
Rosiers,0.00,0.00,804.72,1748.88,1800.18,1780.32,2056.68,2224.75,246.19,0.00,2.00,42.00,20.00,18.00,317.20,1810.62,2121.76,5180.30,4749.68,2673.02,322.18,12.00,16.00,24.00
"Bulbes à Fleurs",1063.44,1684.16,2316.33,3432.36,289.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.41,1339.72,2718.39,4847.56,272.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Serres,449.17,0.00,649.17,449.17,0.00,0.00,1872.50,2031.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,423.33,0.00,956.67,0.00,382.50,0.00,1706.66,0.00
Gazon,274.72,1598.84,659.98,113.54,10.00,264.69,713.02,1129.35,805.19,137.54,38.00,62.36,117.18,432.24,839.76,219.89,24.00,980.87,744.72,1583.38,387.37,109.94,171.81,265.61
"Cartes Cadeaux",116.31,96.06,186.96,111.62,221.17,431.41,538.13,509.43,198.33,64.45,108.71,18.66,53.25,15.70,251.23,344.64,1285.21,736.11,881.08,699.71,266.31,172.08,144.46,122.69
Box,20.82,601.82,70.64,23.55,406.02,192.18,94.18,154.00,23.55,0.00,49.10,0.00,147.30,0.00,70.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Frais livraison",1317.06,2229.42,2660.21,2223.77,1689.72,6152.21,9190.96,12422.25,6406.82,2681.63,1609.00,1144.35,1571.50,1914.82,3263.55,2623.20,4599.16,15267.40,24737.52,22333.14,9506.37,5485.88,3078.63,2109.46
"Réductions autres",17.43,27.77,0.00,20.29,66.93,87.25,51.10,84.22,61.95,82.44,138.70,74.33,325.74,196.16,0.00,0.00,42.29,37.33,22.19,5.74,0.00,0.00,0.00,0.00
